CODIGO_OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE
SNUN;MG0055;UNAÍ;UNAÍ;MG;16° 21' 14'' S;46° 55' 37'' W;609 m
SNVB;BA0008;VALENÇA;VALENÇA;BA;13° 17' 47'' S;38° 59' 33'' W;5 m
SNVC;MG0074;VIÇOSA;VIÇOSA;MG;20° 44' 41'' S;42° 50' 31'' W;659 m
SNVD;BA0050;SANTA MARIA DA VITÓRIA;SANTA MARIA DA VITÓRIA;BA;13° 24' 17'' S;44° 13' 23'' W;465 m
SNVI;MG0035;MELLO VIANA;TRÊS CORAÇÕES;MG;21° 47' 21'' S;45° 16' 5'' W;976 m
SNVS;PA0015;BREVES;BREVES;PA;1° 38' 11'' S;50° 26' 36'' W;30 m
SNWC;CE0011;CAMOCIM;CAMOCIM;CE;2° 53' 45'' S;40° 51' 32'' W;14 m
SNWS;CE0005;CRATEÚS;CRATEÚS;CE;5° 12' 40'' S;40° 42' 15'' W;318 m
SNXB;MG0025;CAXAMBU;CAXAMBU;MG;21° 55' 3'' S;44° 58' 10'' W;865 m
SNXQ;BA0018;XIQUE-XIQUE;XIQUE-XIQUE;BA;10° 50' 3'' S;42° 41' 0'' W;427 m
SNYA;PA0024;ALMEIRIM;ALMEIRIM;PA;1° 28' 45'' S;52° 34' 41'' W;178 m
SNYB;MG0047;TITO TEIXEIRA;ITUIUTABA;MG;19° 0' 7'' S;49° 29' 14'' W;605 m
SNYE;MA0004;PINHEIRO;PINHEIRO;MA;2° 28' 39'' S;45° 6' 18'' W;20 m
SNYU;MG0014;ITURAMA;ITURAMA;MG;19° 43' 2'' S;50° 13' 13'' W;475 m
SNZA;MG0038;POUSO ALEGRE;POUSO ALEGRE;MG;22° 17' 20'' S;45° 55' 10'' W;885 m
SNZR;MG0026;PEDRO RABELO DE SOUZA;PARACATU;MG;17° 14' 35'' S;46° 52' 53'' W;730 m
SSAB;PR0024;MOISÉS LUPION;IBAITI;PR;23° 45' 47'' S;50° 15' 53'' W;600 m
SSAE;RS0040;ARROIO GRANDE;ARROIO GRANDE;RS;32° 13' 45'' S;53° 3' 21'' W;49 m
SSAK;RS0048;CARLOS RUHL;CRUZ ALTA;RS;28° 39' 31'' S;53° 36' 41'' W;481 m
SSAN;PR0032;JOÃO GALDINO;ANDIRÁ;PR;23° 1' 37'' S;50° 13' 42'' W;490 m
SSAP;PR0014;CAPITÃO JOÃO BUSSE;APUCARANA;PR;23° 36' 44'' S;51° 23' 6'' W;800 m
SSAQ;RS0036;AEROCLUBE DE PASSO FUNDO;PASSO FUNDO;RS;28° 15' 2'' S;52° 31' 0'' W;600 m
SSBL;SC0019;BLUMENAU;BLUMENAU;SC;26° 49' 58'' S;49° 5' 37'' W;18 m
SSBN;RS0002;BELÉM NOVO;PORTO ALEGRE;RS;30° 11' 21'' S;51° 10' 57'' W;5 m
SSBV;MS0011;BELA VISTA;BELA VISTA;MS;22° 4' 56'' S;56° 32' 18'' W;235 m
SSCB;SP0044;MUNICIPAL DE CASA BRANCA;CASA BRANCA;SP;21° 47' 17'' S;47° 3' 20'' W;712 m
